d,model,num_iters
7,simple_tgp_multi,1566
7,simple_tgp_multi,863
7,simple_tgp_multi,1652
7,simple_tgp_multi,1428
7,simple_tgp_multi,1461
7,simple_tgp_multi,1710
7,simple_tgp_multi,2161
7,simple_tgp_multi,1394
7,simple_tgp_multi,2357
7,simple_tgp_multi,1951
7,simple_tgp_multi,1215
7,simple_tgp_multi,3651
7,simple_tgp_multi,1761
8,simple_tgp_multi,4748
8,simple_tgp_multi,5313
8,simple_tgp_multi,6195
8,simple_tgp_multi,3770
8,simple_tgp_multi,6508
8,simple_tgp_multi,5213
8,simple_tgp_multi,7217
8,simple_tgp_multi,7885
8,simple_tgp_multi,4073
8,simple_tgp_multi,4702
8,simple_tgp_multi,2996
8,simple_tgp_multi,10221
8,simple_tgp_multi,3675
8,simple_tgp_multi,7929
8,simple_tgp_multi,5616
8,simple_tgp_multi,3667
8,simple_tgp_multi,4260
8,simple_tgp_multi,4695
8,simple_tgp_multi,6443
8,simple_tgp_multi,6696
8,simple_tgp_multi,3697
8,simple_tgp_multi,4473
8,simple_tgp_multi,10476
8,simple_tgp_multi,5563
8,simple_tgp_multi,6095
8,simple_tgp_multi,6515
8,simple_tgp_multi,4571
8,simple_tgp_multi,7036
8,simple_tgp_multi,8127
8,simple_tgp_multi,4176
9,simple_tgp_multi,31721
9,simple_tgp_multi,50338
9,simple_tgp_multi,20114
9,simple_tgp_multi,15066
9,simple_tgp_multi,19032
9,simple_tgp_multi,29493
9,simple_tgp_multi,38286
9,simple_tgp_multi,32133
9,simple_tgp_multi,13665
9,simple_tgp_multi,30644
9,simple_tgp_multi,21875
9,simple_tgp_multi,27579
9,simple_tgp_multi,24308
9,simple_tgp_multi,29812
9,simple_tgp_multi,17758
9,simple_tgp_multi,19464
9,simple_tgp_multi,14283
9,simple_tgp_multi,15205
9,simple_tgp_multi,21888
9,simple_tgp_multi,20690
9,simple_tgp_multi,17793
9,simple_tgp_multi,21369
9,simple_tgp_multi,34652
9,simple_tgp_multi,19876
9,simple_tgp_multi,18836
9,simple_tgp_multi,18239
9,simple_tgp_multi,21655
9,simple_tgp_multi,30268
9,simple_tgp_multi,10501
9,simple_tgp_multi,22835
10,simple_tgp_multi,92937
10,simple_tgp_multi,52573
10,simple_tgp_multi,61050
10,simple_tgp_multi,79112
10,simple_tgp_multi,94669
10,simple_tgp_multi,72669
10,simple_tgp_multi,69674
10,simple_tgp_multi,79196
10,simple_tgp_multi,99336
10,simple_tgp_multi,87348
10,simple_tgp_multi,146622
10,simple_tgp_multi,74387
10,simple_tgp_multi,67199
10,simple_tgp_multi,84625
10,simple_tgp_multi,83284
